Time_Step,Original_Tank1_Reading,KalmanFilter_Tank1_Estimate,ParticleFilter_Tank1_Estimate,Original_Tank2_Reading,KalmanFilter_Tank2_Estimate,ParticleFilter_Tank2_Estimate,Original_Tank3_Reading,KalmanFilter_Tank3_Estimate,ParticleFilter_Tank3_Estimate,Original_Tank4_Reading,KalmanFilter_Tank4_Estimate,ParticleFilter_Tank4_Estimate
18,12.4436805467803,12.443290255362085,4.10949716184809,12.7113527350072,12.710962239023347,4.347207577740238,1.7089741197486,1.7111388926290831,1.111016994932863,1.40412600608537,1.4040191285816201,1.17297998262453
19,12.4440525638166,12.443761387896886,4.281604253002049,12.711982529851,12.711592813433246,4.538526425226948,1.7057146141537,1.7077865041668518,1.1778455217868058,1.40428961671842,1.4041862994437162,1.2266175742168486
20,12.4442785670945,12.444081022219287,4.430408978099592,12.7126108029329,12.712221965544222,4.697305884567375,1.70259519981852,1.7045781016336377,1.230291976406073,1.40444778056667,1.404347903665118,1.216828520779785
21,12.4443667768135,12.444257628270952,4.602491648420732,12.7132373896315,12.712849532143155,4.818632326939261,1.69960998112078,1.701507634296486,1.2873665643592582,1.40460067926143,1.4045041275751655,1.1937394557989571
22,12.4443250444912,12.444299293786457,4.721359784138409,12.713862133222,12.713475354026926,4.971256387320745,1.69675330019426,1.6985692942274377,1.2655102218940584,1.40474848835746,1.404655150844141,1.1763285945856283
23,12.444160867612,12.44421374170571,4.868958181914673,12.7144848845845,12.714099278224188,5.1020314417290855,1.69401972818907,1.6957575077816642,1.261248768951293,1.40489137753756,1.404801146969724,1.136947908514299
24,12.4438814037838,12.44400834557422,5.026136710775783,12.7151055019214,12.71472115866935,5.243715549069303,1.69140405678369,1.693066927096559,1.2603453259019852,1.40502951081018,1.4049422835849272,1.1835511182154521
25,12.4434934844137,12.443690143877532,5.238631927213736,12.7157238504858,12.715340856292157,5.335476927864786,1.68890128994741,1.6904924217535857,1.2543270566691198,1.40516304670033,1.4050787226937085,1.19889428779181
26,12.4430036279114,12.443265853676643,5.492372181926621,12.7163398023188,12.715958238889549,5.434981263514123,1.6865066359512,1.6880290706558345,1.2438888869936158,1.40529213843394,1.4052106208749058,1.1917780296282852
27,12.4424180524323,12.442741883691934,5.637669574588738,12.7169532359962,12.716573180920168,5.592333946311644,1.68421549962459,1.6856721541400135,1.2244124370986758,1.40541693411602,1.4053381294702436,1.1931426201495563
28,12.4417426881707,12.442124346898405,5.754782525748189,12.7175640363839,12.717185563274693,5.77765613934649,1.68202347485545,1.6834171463281056,1.2187744492102863,1.40553757690271,1.4054613947624768,1.2211178041089652
